frame,img_size,preprocess_ms,inference_ms,postprocess_ms,total_latency_ms,real_fps
192,240,5.12,29.03,5.0,39.15,24.14
193,240,7.66,30.5,10.04,48.2,20.11
194,240,6.88,29.27,4.41,40.56,23.56
195,240,9.04,31.04,9.27,49.35,18.56
196,240,4.69,36.19,5.4,46.27,20.86
197,240,3.55,27.99,3.89,35.43,25.15
198,240,3.48,28.03,4.16,35.67,26.92
199,240,6.77,29.95,8.53,45.25,21.15
200,240,6.34,33.17,3.31,42.82,22.31
201,240,7.65,25.68,7.9,41.24,23.25
202,240,6.38,28.96,5.35,40.69,23.44
203,240,8.02,31.85,7.42,47.28,20.38
204,240,4.78,27.69,4.02,36.49,26.34
205,240,9.25,29.27,3.46,41.98,22.65
206,240,3.59,22.06,4.86,30.51,30.4
207,240,10.49,28.67,8.57,47.73,19.66
208,240,7.99,26.6,9.57,44.16,21.86
209,240,5.41,35.33,3.51,44.25,21.58
210,240,8.61,28.44,9.76,46.81,20.23
211,240,3.3,23.77,7.15,34.22,27.91
212,240,9.73,24.65,9.48,43.86,21.98
213,240,3.88,38.03,5.82,47.73,19.82
214,240,3.66,26.53,6.97,37.17,25.66
215,240,8.7,26.79,3.93,39.42,24.26
216,240,7.96,25.48,7.14,40.59,23.62
217,240,5.6,24.25,5.92,35.77,26.33
218,240,3.35,30.42,8.79,42.57,22.66
219,240,10.22,27.48,3.63,41.33,22.95
220,240,3.63,27.7,4.18,35.51,26.98
221,240,4.93,26.85,7.06,38.83,23.83
222,240,3.5,26.52,6.09,36.12,26.52
223,240,7.64,29.94,6.18,43.77,20.75
224,240,6.27,27.39,5.66,39.32,24.47
225,240,6.54,28.97,4.71,40.22,23.68
226,240,6.1,25.94,4.42,36.45,26.19
227,240,5.6,26.03,6.58,38.21,23.93
228,240,4.58,32.73,7.88,45.18,21.41
229,240,9.9,29.24,9.23,48.37,19.95
230,240,4.96,25.75,6.58,37.3,25.79
231,240,7.86,29.65,4.1,41.61,23.01
232,240,3.33,29.67,5.22,38.22,25.21
233,240,7.21,27.62,4.93,39.76,22.51
234,240,3.27,25.44,5.63,34.34,27.85
235,240,8.88,29.71,4.25,42.84,21.89
236,240,3.3,25.93,6.08,35.3,27.15
237,240,8.48,31.79,5.18,45.45,20.05
238,240,3.5,27.48,4.09,35.08,27.32
239,240,5.1,30.27,7.42,42.78,22.17
240,240,7.48,30.82,8.53,46.84,19.88
241,240,5.33,30.13,4.57,40.04,24.08
242,240,3.43,28.69,5.66,37.78,25.07
243,240,10.86,34.87,6.39,52.11,18.55
244,240,5.16,33.05,3.8,42.02,22.99
245,240,6.97,26.45,3.27,36.69,26.01
246,240,6.35,24.04,8.24,38.64,24.22
247,240,6.8,28.08,5.44,40.32,23.6
248,240,9.28,28.65,10.99,48.93,19.78
249,240,5.85,33.14,8.32,47.31,20.54
250,240,9.02,27.35,5.04,41.41,23.31
