Klatka | Preprocess (ms) | Inferencja (ms) | Postprocess (ms) | FPS
   247 |           10.25 |           22.72 |             3.32 | 24.52
   248 |            7.78 |           26.23 |             5.26 | 22.95
   249 |            5.09 |           34.83 |             5.36 | 20.46
   250 |           11.45 |           28.95 |             4.48 | 20.50
   251 |            5.56 |           23.50 |             6.93 | 24.47
   252 |            6.49 |           23.68 |             4.10 | 24.30
   253 |            8.97 |           25.51 |             3.11 | 24.20
   254 |            9.28 |           23.46 |             5.62 | 23.40
   255 |           13.09 |           25.96 |             4.98 | 20.35
   256 |            6.81 |           28.25 |             7.60 | 21.40
   257 |            7.50 |           29.45 |             4.93 | 21.91
   258 |            9.68 |           32.19 |             5.26 | 19.58
   259 |            9.93 |           23.69 |             4.93 | 23.23
   260 |            7.91 |           27.74 |             4.81 | 21.99
   261 |            4.85 |           26.11 |             4.65 | 25.30
   262 |            6.37 |           24.79 |             3.22 | 25.74
   263 |           10.38 |           27.17 |             7.04 | 19.88
   264 |            9.19 |           24.25 |             4.79 | 23.47
   265 |           10.74 |           30.71 |             4.84 | 19.83
   266 |            7.67 |           32.05 |             5.43 | 20.41
   267 |            6.44 |           26.87 |             3.19 | 24.43
   268 |            8.40 |           28.82 |             3.97 | 22.39
   269 |            4.63 |           29.74 |             3.17 | 23.76
   270 |            9.75 |           24.89 |             5.40 | 22.94
   271 |           10.80 |           28.87 |             5.51 | 20.65
   272 |           10.21 |           23.87 |             4.85 | 23.52
   273 |            6.24 |           30.85 |             3.75 | 22.32
   274 |            6.94 |           31.85 |             4.83 | 21.12
   275 |           11.16 |           26.95 |             4.16 | 21.51
   276 |            9.22 |           26.81 |             3.64 | 22.77
   277 |            9.43 |           27.33 |             3.18 | 22.40
   278 |            8.90 |           24.64 |             4.22 | 24.15
   279 |            5.08 |           24.82 |             3.16 | 26.78
   280 |            8.18 |           29.29 |             3.05 | 22.60
   281 |           12.24 |           24.76 |             3.19 | 22.97
   282 |           11.86 |           23.94 |             3.51 | 22.61
   283 |            6.44 |           28.10 |             3.09 | 23.82
   284 |            6.42 |           26.21 |             5.99 | 23.45
   285 |            6.36 |           25.14 |             3.55 | 25.69
   286 |            7.03 |           22.84 |             9.02 | 21.77
   287 |            9.62 |           27.78 |             3.04 | 22.27
   288 |            6.33 |           22.65 |             4.02 | 25.55
   289 |           12.43 |           26.04 |             4.82 | 20.86
   290 |            9.43 |           24.67 |             4.91 | 23.31
   291 |            8.86 |           22.67 |             3.21 | 25.84
   292 |            8.11 |           33.52 |             3.36 | 20.64
   293 |            7.06 |           27.58 |             4.78 | 23.08
   294 |            5.70 |           31.14 |             4.12 | 22.70
   295 |           11.61 |           25.36 |             7.15 | 20.23
   296 |            6.24 |           26.33 |             4.65 | 23.94
   297 |            6.70 |           27.27 |             3.10 | 24.38
   298 |            8.03 |           28.39 |             3.13 | 23.13
   299 |            5.32 |           28.05 |             4.70 | 23.32
   300 |            6.46 |           28.21 |             4.35 | 22.57
   301 |            8.93 |           24.55 |             4.12 | 24.05
   302 |           11.14 |           23.79 |             4.82 | 22.40
   303 |            7.27 |           26.62 |             4.06 | 23.98
   304 |            5.99 |           24.69 |             6.24 | 23.88
   305 |            6.79 |           23.07 |             4.66 | 25.92
   306 |            8.08 |           23.30 |             3.34 | 24.80
   307 |           13.28 |           26.11 |             3.23 | 21.76
   308 |            9.47 |           24.92 |             4.73 | 22.13
   309 |            4.27 |           31.58 |             5.46 | 22.31
   310 |            8.11 |           29.13 |             5.31 | 20.94
   311 |            7.02 |           25.34 |             3.37 | 24.10
   312 |            8.70 |           22.65 |             6.76 | 23.32
   313 |            5.78 |           29.75 |             3.92 | 22.47
   314 |            6.47 |           22.52 |             3.14 | 27.33
   315 |            8.07 |           28.28 |             3.79 | 22.05
   316 |            7.99 |           32.53 |             3.86 | 20.22
   317 |           12.80 |           28.12 |             5.65 | 19.44
   318 |            7.23 |           27.01 |             3.06 | 24.58
   319 |           11.85 |           26.00 |             4.43 | 21.25
   320 |            9.96 |           31.29 |             4.05 | 20.36
   321 |           10.63 |           26.58 |             5.59 | 21.20
   322 |           10.73 |           23.96 |             4.53 | 23.53
   323 |            8.15 |           29.23 |             5.31 | 21.00
   324 |            7.73 |           31.16 |             3.16 | 21.33
   325 |            7.71 |           24.90 |             3.20 | 25.12
   326 |            7.44 |           29.77 |             5.38 | 21.34
   327 |            7.40 |           34.35 |             3.06 | 20.34
   328 |            5.55 |           24.99 |             4.80 | 25.48
   329 |            7.93 |           27.67 |             3.13 | 23.75
   330 |          139.09 |           22.32 |             3.07 |  5.71
   331 |            9.26 |           24.90 |             3.15 | 24.26
   332 |            8.85 |           27.23 |             7.61 | 20.68
   333 |           10.33 |           29.47 |             3.98 | 20.96
   334 |            6.52 |           22.48 |             8.86 | 24.09
   335 |            9.96 |           25.00 |             5.09 | 22.42
   336 |            6.39 |           29.08 |             3.67 | 23.10
   337 |            6.71 |           27.33 |             3.19 | 24.15
   338 |            5.13 |           26.22 |             7.83 | 22.84
   339 |            8.54 |           36.05 |             3.64 | 19.15
   340 |            7.17 |           23.83 |             7.80 | 23.07
   341 |            7.67 |           22.65 |             3.35 | 25.21
   342 |            3.36 |           29.81 |             3.12 | 25.13
   343 |            8.33 |           28.80 |             7.56 | 20.44
   344 |           10.75 |           30.20 |             3.09 | 20.58
   345 |            7.80 |           24.03 |             3.05 | 25.74
   346 |            7.31 |           24.64 |             5.61 | 23.80
   347 |            7.98 |           27.42 |             3.89 | 23.36
   348 |            9.65 |           27.87 |             7.08 | 20.19
   349 |            7.39 |           28.79 |             3.68 | 23.12
   350 |            4.32 |           25.61 |             8.08 | 23.34
   351 |           10.72 |           29.58 |             6.48 | 19.50
   352 |            8.16 |           24.27 |             5.77 | 23.49
   353 |            7.10 |           29.39 |             4.11 | 21.32
   354 |           10.28 |           25.06 |             3.20 | 23.78
   355 |            7.01 |           25.37 |             5.74 | 23.69
   356 |            7.65 |           27.33 |             5.03 | 22.81
   357 |            4.45 |           25.69 |             5.31 | 25.07
   358 |            4.76 |           32.27 |             3.09 | 23.29
   359 |            9.63 |           26.35 |             3.94 | 22.68
   360 |           11.89 |           29.42 |             7.05 | 19.09
   361 |            6.28 |           26.40 |             6.10 | 23.07
   362 |            7.04 |           33.20 |             3.31 | 21.39
   363 |            8.42 |           25.07 |             5.73 | 23.23
   364 |            7.36 |           26.66 |             3.42 | 24.43
   365 |            7.48 |           25.91 |             3.17 | 24.82
   366 |            9.08 |           22.85 |             7.01 | 22.98
   367 |            9.84 |           24.62 |             4.72 | 21.59
   368 |            6.42 |           25.19 |             5.64 | 24.22
   369 |            7.13 |           28.09 |             3.78 | 23.33
   370 |            9.81 |           26.44 |             5.29 | 21.88
   371 |           10.43 |           24.50 |             3.25 | 23.80
   372 |           10.59 |           26.50 |             7.24 | 20.30
   373 |            9.19 |           26.18 |             4.83 | 22.72
   374 |            9.10 |           28.17 |             4.76 | 21.75
   375 |           10.70 |           24.05 |             4.84 | 22.61
   376 |           10.88 |           24.91 |             5.35 | 22.08
   377 |            8.12 |           26.59 |             6.15 | 22.12
   378 |            5.91 |           28.69 |             3.04 | 23.52
   379 |            9.76 |           25.18 |             4.95 | 23.07
   380 |            7.84 |           28.23 |             4.80 | 22.03
   381 |            6.74 |           26.52 |             4.48 | 23.17
   382 |            6.50 |           29.05 |             4.82 | 22.51
   383 |            7.73 |           28.31 |             4.78 | 22.02
   384 |            8.37 |           23.50 |             5.31 | 24.23
   385 |            9.77 |           27.85 |             4.19 | 21.91
   386 |            6.23 |           27.28 |             3.14 | 24.02
   387 |            5.58 |           26.77 |             3.17 | 25.70
   388 |            8.64 |           27.23 |             3.43 | 22.84
   389 |            9.77 |           30.00 |             3.17 | 21.71
   390 |            6.91 |           23.84 |             4.82 | 25.30
   391 |            9.80 |           30.71 |             5.09 | 20.52
   392 |            6.35 |           24.81 |             3.13 | 25.90
   393 |            7.32 |           23.97 |             3.17 | 26.30
   394 |            4.07 |           22.89 |             8.54 | 25.04
   395 |            8.14 |           25.84 |             6.02 | 22.42
   396 |            5.86 |           27.21 |             3.93 | 24.45
   397 |            8.83 |           23.25 |             8.50 | 22.62
   398 |            8.44 |           30.54 |             4.97 | 20.17
   399 |           10.13 |           22.44 |             3.16 | 25.33
   400 |            6.15 |           25.36 |             6.50 | 23.14
   401 |            9.03 |           30.52 |             5.81 | 20.14
   402 |            6.99 |           23.80 |             3.07 | 27.11
   403 |            7.52 |           31.94 |             4.74 | 20.79
   404 |            8.29 |           26.72 |             3.31 | 23.18
   405 |           10.66 |           26.70 |             6.61 | 20.15
   406 |            8.89 |           24.41 |             3.69 | 23.92
   407 |           10.30 |           29.38 |             5.48 | 20.19
   408 |            6.73 |           29.67 |             3.06 | 22.36
   409 |            6.98 |           29.36 |             6.12 | 21.24
   410 |           10.75 |           25.57 |             7.06 | 20.84
   411 |            9.81 |           27.18 |             3.13 | 22.64
   412 |            5.31 |           27.01 |             3.52 | 23.36
   413 |            8.15 |           24.00 |             3.19 | 25.14
   414 |            8.50 |           24.51 |             4.97 | 23.67
   415 |           10.19 |           27.04 |             3.10 | 22.59
   416 |            9.73 |           30.35 |             3.08 | 21.60
   417 |            6.06 |           27.08 |             3.10 | 25.01
   418 |            7.19 |           24.97 |             3.26 | 25.42
   419 |            8.25 |           25.88 |             4.67 | 22.92
   420 |           10.65 |           23.29 |             3.33 | 23.00
   421 |            6.99 |           23.88 |             3.39 | 25.53
   422 |           11.14 |           27.41 |             6.67 | 20.30
   423 |           13.48 |           25.21 |             3.60 | 21.61
   424 |            7.10 |           25.27 |             4.84 | 24.16
   425 |            9.66 |           28.03 |             5.21 | 21.23
   426 |            9.15 |           30.04 |             3.36 | 20.46
   427 |            5.62 |           26.14 |             3.12 | 25.81
   428 |            5.38 |           28.64 |             6.83 | 22.19
   429 |            6.25 |           24.57 |             4.81 | 25.87
   430 |           10.70 |           24.03 |             3.06 | 23.41
